jurisdiction,year,population,murder,rape,robbery,agg_assault,b_e,larceny_theft,m_v_theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people,percent_change,violent_crime_percent_change,property_crime_percent_change,overall_percent_change_per_100_000_people,violent_crime_rate_percent_change_per_100_000_people,property_crime_rate_percent_change_per_100_000_people,murder_rate_percent_change_per_100_000_people,rape_rate_percent_change_per_100_000_people,robbery_rate_percent_change_per_100_000_people,agg_assault_rate_percent_change_per_100_000_people,b_e_rate_percent_change_per_100_000_people,larceny_theft_rate_percent_change_per_100_000_people,m_v_theft_rate_percent_change_per_100_000_people
Allegany County,1975,79655,3,5,20,114,669,1425,93,2329,142,6.100,2187,93.900,2923.9,178.3,2745.6,3.8,6.3,25.1,143.1,839.9,1789.0,116.8,,,,,,,,,,,,,
Allegany County,1976,83923,2,2,24,59,581,1384,73,2125,87,4.100,2038,95.900,2532.1,103.7,2428.4,2.4,2.4,28.6,70.3,692.3,1649.1,87.0,-8.800,-38.700,-6.800,-13.400,-41.800,-11.600,-36.700,-62.00,13.900,-50.900,-17.600,-7.800,-25.500
Allegany County,1977,82102,3,7,32,85,592,1390,102,2211,127,5.700,2084,94.300,2693.0,154.7,2538.3,3.7,8.5,39.0,103.5,721.1,1693.0,124.2,4.00,46.00,2.300,6.400,49.200,4.500,53.300,257.800,36.300,47.300,4.200,2.700,42.800
Allegany County,1978,79966,1,2,18,81,539,1390,100,2131,102,4.800,2029,95.200,2664.9,127.6,2537.3,1.3,2.5,22.5,101.3,674.0,1738.2,125.1,-3.600,-19.700,-2.600,-1.00,-17.500,0.0,-65.800,-70.700,-42.200,-2.200,-6.500,2.700,0.700
Allegany County,1979,79721,1,7,18,84,502,1611,99,2322,110,4.700,2212,95.300,2912.7,138.0,2774.7,1.3,8.8,22.6,105.4,629.7,2020.8,124.2,9.00,7.800,9.00,9.300,8.200,9.400,0.300,251.100,0.300,4.00,-6.600,16.300,-0.700
Allegany County,1980,80461,2,12,26,79,541,1706,108,2474,119,4.800,2355,95.200,3074.8,147.9,2926.9,2.5,14.9,32.3,98.2,672.4,2120.3,134.2,6.500,8.200,6.500,5.600,7.200,5.500,98.200,69.900,43.100,-6.800,6.800,4.900,8.100
Allegany County,1981,81781,11,13,24,101,539,1697,88,2473,149,6.00,2324,94.00,3023.9,182.2,2841.7,13.5,15.9,29.3,123.5,659.1,2075.1,107.6,0.0,25.200,-1.300,-1.700,23.200,-2.900,441.100,6.600,-9.200,25.800,-2.00,-2.100,-19.800
Allegany County,1982,81858,1,18,18,80,447,1570,55,2189,117,5.300,2072,94.700,2674.1,142.9,2531.2,1.2,22.0,22.0,97.7,546.1,1918.0,67.2,-11.500,-21.500,-10.800,-11.600,-21.600,-10.900,-90.900,38.300,-25.100,-20.900,-17.100,-7.600,-37.600
Allegany County,1983,82605,5,9,19,89,347,1412,67,1948,122,6.300,1826,93.700,2358.2,147.7,2210.5,6.1,10.9,23.0,107.7,420.1,1709.3,81.1,-11.00,4.300,-11.900,-11.800,3.300,-12.700,395.500,-50.500,4.600,10.200,-23.100,-10.900,20.700
Allegany County,1984,80835,2,15,6,67,361,1338,68,1857,90,4.800,1767,95.200,2297.3,111.3,2185.9,2.5,18.6,7.4,82.9,446.6,1655.2,84.1,-4.700,-26.200,-3.200,-2.600,-24.600,-1.100,-59.100,70.300,-67.700,-23.100,6.300,-3.200,3.700
Allegany County,1985,77655,0,7,12,70,396,1249,61,1795,89,5.00,1706,95.00,2311.5,114.6,2196.9,0.0,9.0,15.5,90.1,509.9,1608.4,78.6,-3.300,-1.100,-3.500,0.600,2.900,0.500,-100.0,-51.400,108.200,8.800,14.200,-2.800,-6.600
Allegany County,1986,78947,1,11,12,97,432,1393,60,2006,121,6.00,1885,94.00,2540.9,153.3,2387.7,1.3,13.9,15.2,122.9,547.2,1764.5,76.0,11.800,36.00,10.500,9.900,33.700,8.700,126.700,54.600,-1.600,36.300,7.300,9.700,-3.200
Allegany County,1987,75697,2,9,22,120,409,1390,59,2011,153,7.600,1858,92.400,2656.6,202.1,2454.5,2.6,11.9,29.1,158.5,540.3,1836.3,77.9,0.200,26.400,-1.400,4.600,31.900,2.800,108.600,-14.700,91.200,29.00,-1.300,4.100,2.600
Allegany County,1988,76500,4,19,16,124,448,1439,81,2131,163,7.600,1968,92.400,2785.6,213.1,2572.5,5.2,24.8,20.9,162.1,585.6,1881.0,105.9,6.00,6.500,5.900,4.900,5.400,4.800,97.900,108.900,-28.00,2.200,8.400,2.400,35.800
Allegany County,1989,76375,2,20,16,153,514,1505,70,2280,191,8.400,2089,91.600,2985.3,250.1,2735.2,2.6,26.2,20.9,200.3,673.0,1970.5,91.7,7.00,17.200,6.100,7.200,17.400,6.300,-49.900,5.400,0.200,23.600,14.900,4.800,-13.400
Allegany County,1990,74946,0,17,15,206,464,1620,66,2388,238,10.0,2150,90.0,3186.3,317.6,2868.7,0.0,22.7,20.0,274.9,619.1,2161.6,88.1,4.700,24.600,2.900,6.700,27.00,4.900,-100.0,-13.400,-4.500,37.200,-8.00,9.700,-3.900
Allegany County,1991,76175,1,20,15,282,511,1580,60,2469,318,12.900,2151,87.100,3241.2,417.5,2823.8,1.3,26.3,19.7,370.2,670.8,2074.2,78.8,3.400,33.600,0.0,1.700,31.500,-1.600,131.300,15.700,-1.600,34.700,8.400,-4.00,-10.600
Allegany County,1992,76925,1,12,16,333,483,1749,97,2691,362,13.500,2329,86.500,3498.2,470.6,3027.6,1.3,15.6,20.8,432.9,627.9,2273.6,126.1,9.00,13.800,8.300,7.900,12.700,7.200,-1.00,-40.600,5.600,16.900,-6.400,9.600,60.100
Allegany County,1993,75274,1,15,21,343,384,1591,102,2457,380,15.500,2077,84.500,3264.1,504.8,2759.3,1.3,19.9,27.9,455.7,510.1,2113.6,135.5,-8.700,5.00,-10.800,-6.700,7.300,-8.900,2.200,27.700,34.100,5.300,-18.800,-7.00,7.500
Allegany County,1994,75891,2,13,18,302,386,1638,75,2434,335,13.800,2099,86.200,3207.2,441.4,2765.8,2.6,17.1,23.7,397.9,508.6,2158.4,98.8,-0.900,-11.800,1.100,-1.700,-12.600,0.200,98.400,-14.00,-15.00,-12.700,-0.300,2.100,-27.100
Allegany County,1995,74394,1,16,18,372,387,1487,71,2352,407,17.300,1945,82.700,3161.5,547.1,2614.5,1.3,21.5,24.2,500.0,520.2,1998.8,95.4,-3.400,21.500,-7.300,-1.400,23.900,-5.500,-49.00,25.600,2.00,25.700,2.300,-7.400,-3.400
Allegany County,1996,74833,2,15,13,299,450,1681,81,2541,329,12.900,2212,87.100,3395.6,439.6,2955.9,2.7,20.0,17.4,399.6,601.3,2246.3,108.2,8.00,-19.200,13.700,7.400,-19.600,13.100,98.800,-6.800,-28.200,-20.100,15.600,12.400,13.400
Allegany County,1997,75155,1,15,8,340,441,1739,69,2613,364,13.900,2249,86.100,3476.8,484.3,2992.5,1.3,20.0,10.6,452.4,586.8,2313.9,91.8,2.800,10.600,1.700,2.400,10.200,1.200,-50.200,-0.400,-38.700,13.200,-2.400,3.00,-15.200
Allegany County,1998,72871,2,18,16,249,446,1750,95,2576,285,11.100,2291,88.900,3535.0,391.1,3143.9,2.7,24.7,22.0,341.7,612.0,2401.5,130.4,-1.400,-21.700,1.900,1.700,-19.200,5.100,106.300,23.800,106.300,-24.500,4.300,3.800,42.00
Allegany County,1999,71845,0,19,20,244,394,1624,78,2379,283,11.900,2096,88.100,3311.3,393.9,2917.4,0.0,26.4,27.8,339.6,548.4,2260.4,108.6,-7.600,-0.700,-8.500,-6.300,0.700,-7.200,-100.0,7.100,26.800,-0.600,-10.400,-5.900,-16.700
Allegany County,2000,74930,2,24,21,224,421,1562,124,2378,271,11.400,2107,88.600,3173.6,361.7,2812.0,2.7,32.0,28.0,298.9,561.9,2084.6,165.5,0.0,-4.200,0.500,-4.200,-8.200,-3.600,266.900,21.100,0.700,-12.00,2.500,-7.800,52.400
Allegany County,2001,76043,1,22,29,268,426,1805,119,2670,320,12.00,2350,88.00,3511.2,420.8,3090.4,1.3,28.9,38.1,352.4,560.2,2373.7,156.5,12.300,18.100,11.500,10.600,16.400,9.900,-50.700,-9.700,36.100,17.900,-0.300,13.900,-5.400
Allegany County,2002,77216,0,26,22,187,487,1557,89,2368,235,9.900,2133,90.100,3066.7,304.3,2762.4,0.0,33.7,28.5,242.2,630.7,2016.4,115.3,-11.300,-26.600,-9.200,-12.700,-27.700,-10.600,-100.0,16.400,-25.300,-31.300,12.600,-15.100,-26.300
Allegany County,2003,74893,1,22,31,208,555,1631,93,2541,262,10.300,2279,89.700,3392.8,349.8,3043.0,1.3,29.4,41.4,277.7,741.1,2177.8,124.2,7.300,11.500,6.800,10.600,14.900,10.200,133.500,-12.800,45.300,14.700,17.500,8.00,7.700
Allegany County,2004,74325,0,23,27,275,488,1481,55,2349,325,13.800,2024,86.200,3160.4,437.3,2723.2,0.0,30.9,36.3,370.0,656.6,1992.6,74.0,-7.600,24.00,-11.200,-6.800,25.00,-10.500,-100.0,5.300,-12.200,33.200,-11.400,-8.500,-40.400
Allegany County,2005,74434,1,30,15,214,460,1531,57,2308,260,11.300,2048,88.700,3100.7,349.3,2751.4,1.3,40.3,20.2,287.5,618.0,2056.9,76.6,-1.700,-20.0,1.200,-1.900,-20.100,1.00,134.300,30.200,-44.500,-22.300,-5.900,3.200,3.500
Allegany County,2006,73841,1,29,37,215,542,1586,83,2493,282,11.300,2211,88.700,3376.2,381.9,2994.3,1.4,39.3,50.1,291.2,734.0,2147.9,112.4,8.00,8.500,8.00,8.900,9.300,8.800,0.800,-2.600,148.600,1.300,18.800,4.400,46.800
Allegany County,2007,71977,0,20,35,207,536,1631,92,2521,262,10.400,2259,89.600,3502.5,364.0,3138.5,0.0,27.8,48.6,287.6,744.7,2266.0,127.8,1.100,-7.100,2.200,3.700,-4.700,4.800,-100.0,-29.200,-3.00,-1.200,1.500,5.500,13.700
Allegany County,2008,71806,1,17,34,188,517,1657,49,2463,240,9.700,2223,90.300,3430.1,334.2,3095.8,1.4,23.7,47.3,261.8,720.0,2307.6,68.2,-2.300,-8.400,-1.600,-2.100,-8.200,-1.400,139.300,-14.800,-2.600,-9.00,-3.300,1.800,-46.600
Allegany County,2009,72312,1,25,38,259,606,1622,49,2600,323,12.400,2277,87.600,3595.5,446.7,3148.9,1.4,34.6,52.6,358.2,838.0,2243.1,67.8,5.600,34.600,2.400,4.800,33.600,1.700,-0.700,46.00,11.00,36.800,16.400,-2.800,-0.700
Allegany County,2010,72721,4,26,48,234,596,1921,49,2878,312,10.800,2566,89.200,3957.6,429.0,3528.6,5.5,35.8,66.0,321.8,819.6,2641.6,67.4,10.700,-3.400,12.700,10.100,-3.900,12.100,297.800,3.400,25.600,-10.200,-2.200,17.800,-0.600
Allegany County,2011,75799,6,30,62,153,608,1866,43,2768,251,9.100,2517,90.900,3651.8,331.1,3320.6,7.9,39.6,81.8,201.8,802.1,2461.8,56.7,-3.800,-19.600,-1.900,-7.700,-22.800,-5.900,43.900,10.700,23.900,-37.300,-2.100,-6.800,-15.800
Allegany County,2012,75413,3,22,42,201,571,1904,67,2810,268,9.500,2542,90.500,3726.1,355.4,3370.8,4.0,29.2,55.7,266.5,757.2,2524.8,88.8,1.500,6.800,1.00,2.00,7.300,1.500,-49.700,-26.300,-31.900,32.00,-5.600,2.600,56.600
Allegany County,2013,73834,4,28,63,154,547,1787,54,2637,249,9.400,2388,90.600,3571.5,337.2,3234.3,5.4,37.9,85.3,208.6,740.9,2420.3,73.1,-6.200,-7.100,-6.100,-4.100,-5.100,-4.00,36.200,30.0,53.200,-21.700,-2.200,-4.100,-17.700
Allegany County,2014,73299,2,15,31,153,550,1787,42,2580,201,7.800,2379,92.200,3519.8,274.2,3245.6,2.7,20.5,42.3,208.7,750.4,2438.0,57.3,-2.200,-19.300,-0.400,-1.400,-18.700,0.400,-49.600,-46.00,-50.400,0.100,1.300,0.700,-21.700
Allegany County,2017,71616,4,14,58,168,469,1724,46,2483,244,9.800,2239,90.200,3467.1,340.7,3126.4,5.6,19.5,81.0,234.6,654.9,2407.3,64.2,-3.800,21.400,-5.900,-1.500,24.200,-3.700,104.700,-4.500,91.500,12.400,-12.700,-1.300,12.100
Allegany County,2018,70577,2,20,42,189,404,1182,57,1896,253,13.300,1643,86.700,2686.4,358.5,2328.0,2.8,28.3,59.5,267.8,572.4,1674.8,80.8,-23.600,3.700,-26.600,-22.500,5.200,-25.500,-49.300,45.00,-26.500,14.200,-12.600,-30.400,25.700
Allegany County,2019,70140,0,24,44,160,349,1111,61,1749,228,13.00,1521,87.00,2493.6,325.1,2168.5,0.0,34.2,62.7,228.1,497.6,1584.0,87.0,-7.800,-9.900,-7.400,-7.200,-9.300,-6.800,-100.0,20.700,5.400,-14.800,-13.100,-5.400,7.700
Allegany County,2020,69699,1,19,42,169,313,926,59,1529,231,15.100,1298,84.900,2193.7,331.4,1862.3,1.4,27.3,60.3,242.5,449.1,1328.6,84.6,-12.600,1.300,-14.700,-12.00,2.00,-14.100,143.500,-20.300,-3.900,6.300,-9.700,-16.100,-2.700
Allegany County,2015,72230,3,24,58,133,486,1737,49,2490,218,8.800,2272,91.200,3447.3,301.8,3145.5,4.2,33.2,80.3,184.1,672.9,2404.8,67.8,62.900,-5.600,75.00,57.100,-8.900,68.900,189.500,21.900,33.300,-24.100,49.800,81.00,-19.900
Allegany County,2016,71622,5,16,65,159,388,1642,44,2319,245,10.600,2074,89.400,3237.8,342.1,2895.8,7.0,22.3,90.8,222.0,541.7,2292.6,61.4,-6.900,12.400,-8.700,-6.100,13.300,-7.900,68.100,-32.800,13.00,20.600,-19.500,-4.700,-9.400
Anne Arundel County,1975,331390,16,74,413,1514,5662,12736,1986,22401,2017,9.00,20384,91.00,6759.7,608.6,6151.1,4.8,22.3,124.6,456.9,1708.6,3843.2,599.3,,,,,,,,,,,,,
Anne Arundel County,1976,340345,10,77,330,619,4653,11535,1520,18744,1036,5.500,17708,94.500,5507.4,304.4,5203.0,2.9,22.6,97.0,181.9,1367.1,3389.2,446.6,-16.300,-48.600,-13.100,-18.500,-50.0,-15.400,-39.100,1.300,-22.200,-60.200,-20.0,-11.800,-25.500
Anne Arundel County,1977,347538,16,118,396,656,5091,10783,1436,18496,1186,6.400,17310,93.600,5322.0,341.3,4980.8,4.6,34.0,113.9,188.8,1464.9,3102.7,413.2,-1.300,14.500,-2.200,-3.400,12.100,-4.300,56.700,50.100,17.500,3.800,7.100,-8.500,-7.500
Anne Arundel County,1978,363169,17,68,349,710,4694,10120,1161,17119,1144,6.700,15975,93.300,4713.8,315.0,4398.8,4.7,18.7,96.1,195.5,1292.5,2786.6,319.7,-7.400,-3.500,-7.700,-11.400,-7.700,-11.700,1.700,-44.900,-15.700,3.600,-11.800,-10.200,-22.600
Anne Arundel County,1979,361749,13,84,301,728,4430,10633,1264,17453,1126,6.500,16327,93.500,4824.6,311.3,4513.4,3.6,23.2,83.2,201.2,1224.6,2939.3,349.4,2.00,-1.600,2.200,2.400,-1.200,2.600,-23.200,24.00,-13.400,2.900,-5.300,5.500,9.300
Anne Arundel County,1980,370099,20,117,352,815,5444,12215,1353,20316,1304,6.400,19012,93.600,5489.3,352.3,5137.0,5.4,31.6,95.1,220.2,1471.0,3300.5,365.6,16.400,15.800,16.400,13.800,13.200,13.800,50.400,36.100,14.300,9.400,20.100,12.300,4.600
Anne Arundel County,1981,376172,23,85,488,820,5105,12638,1276,20435,1416,6.900,19019,93.100,5432.4,376.4,5055.9,6.1,22.6,129.7,218.0,1357.1,3359.6,339.2,0.600,8.600,0.0,-1.00,6.800,-1.600,13.100,-28.500,36.400,-1.00,-7.700,1.800,-7.200
Anne Arundel County,1982,376525,19,83,420,844,4614,11667,1128,18775,1366,7.300,17409,92.700,4986.4,362.8,4623.6,5.0,22.0,111.5,224.2,1225.4,3098.6,299.6,-8.100,-3.500,-8.500,-8.200,-3.600,-8.600,-17.500,-2.400,-14.00,2.800,-9.700,-7.800,-11.700
Anne Arundel County,1983,379967,13,71,465,935,4392,10067,951,16894,1484,8.800,15410,91.200,4446.2,390.6,4055.6,3.4,18.7,122.4,246.1,1155.9,2649.4,250.3,-10.0,8.600,-11.500,-10.800,7.700,-12.300,-32.200,-15.200,9.700,9.800,-5.700,-14.500,-16.500
Anne Arundel County,1984,388659,16,97,416,1085,4269,10131,941,16955,1614,9.500,15341,90.500,4362.4,415.3,3947.2,4.1,25.0,107.0,279.2,1098.4,2606.7,242.1,0.400,8.800,-0.400,-1.900,6.300,-2.700,20.300,33.600,-12.500,13.400,-5.00,-1.600,-3.300
Anne Arundel County,1985,392718,16,113,417,1204,4675,9602,1121,17148,1750,10.200,15398,89.800,4366.5,445.6,3920.9,4.1,28.8,106.2,306.6,1190.4,2445.0,285.4,1.100,8.400,0.400,0.100,7.300,-0.700,-1.00,15.300,-0.800,9.800,8.400,-6.200,17.900
Anne Arundel County,1986,399108,20,133,369,979,5382,11299,1533,19715,1501,7.600,18214,92.400,4939.8,376.1,4563.7,5.0,33.3,92.5,245.3,1348.5,2831.1,384.1,15.00,-14.200,18.300,13.100,-15.600,16.400,23.00,15.800,-12.900,-20.0,13.300,15.800,34.600
Anne Arundel County,1987,412522,19,115,383,895,4539,11676,1676,19303,1412,7.300,17891,92.700,4679.3,342.3,4337.0,4.6,27.9,92.8,217.0,1100.3,2830.4,406.3,-2.100,-5.900,-1.800,-5.300,-9.00,-5.00,-8.100,-16.300,0.400,-11.600,-18.400,0.0,5.800
Anne Arundel County,1988,422647,18,83,420,975,4134,11577,1801,19008,1496,7.900,17512,92.100,4497.4,354.0,4143.4,4.3,19.6,99.4,230.7,978.1,2739.2,426.1,-1.500,5.900,-2.100,-3.900,3.400,-4.500,-7.500,-29.600,7.00,6.300,-11.100,-3.200,4.900
Anne Arundel County,1989,424124,20,124,468,895,4009,11643,1805,18964,1507,7.900,17457,92.100,4471.3,355.3,4116.0,4.7,29.2,110.3,211.0,945.2,2745.2,425.6,-0.200,0.700,-0.300,-0.600,0.400,-0.700,10.700,48.900,11.00,-8.500,-3.400,0.200,-0.100
Anne Arundel County,1990,427239,16,131,462,1017,4329,12448,2197,20600,1626,7.900,18974,92.100,4821.7,380.6,4441.1,3.7,30.7,108.1,238.0,1013.3,2913.6,514.2,8.600,7.900,8.700,7.800,7.100,7.900,-20.600,4.900,-2.00,12.800,7.200,6.100,20.800
Anne Arundel County,1991,434253,12,126,643,1067,4259,13702,2084,21893,1848,8.400,20045,91.600,5041.5,425.6,4616.0,2.8,29.0,148.1,245.7,980.8,3155.3,479.9,6.300,13.700,5.600,4.600,11.800,3.900,-26.200,-5.400,36.900,3.200,-3.200,8.300,-6.700
Anne Arundel County,1992,438543,12,136,655,1177,4205,13639,2101,21925,1980,9.00,19945,91.00,4999.5,451.5,4548.0,2.7,31.0,149.4,268.4,958.9,3110.1,479.1,0.100,7.100,-0.500,-0.800,6.100,-1.500,-1.00,6.900,0.900,9.200,-2.200,-1.400,-0.200
Anne Arundel County,1993,445772,22,141,647,1394,4029,13273,1854,21360,2204,10.300,19156,89.700,4791.7,494.4,4297.3,4.9,31.6,145.1,312.7,903.8,2977.5,415.9,-2.600,11.300,-4.00,-4.200,9.500,-5.500,80.400,2.00,-2.800,16.500,-5.700,-4.300,-13.200
Anne Arundel County,1994,449440,11,132,692,1287,3644,13281,1806,20853,2122,10.200,18731,89.800,4639.8,472.1,4167.6,2.4,29.4,154.0,286.4,810.8,2955.0,401.8,-2.400,-3.700,-2.200,-3.200,-4.500,-3.00,-50.400,-7.100,6.100,-8.400,-10.300,-0.800,-3.400
Anne Arundel County,1995,459455,17,111,763,1081,3498,14035,1863,21368,1972,9.200,19396,90.800,4650.7,429.2,4221.5,3.7,24.2,166.1,235.3,761.3,3054.7,405.5,2.500,-7.100,3.600,0.200,-9.100,1.300,51.200,-17.700,7.900,-17.800,-6.100,3.400,0.900
Anne Arundel County,1996,462188,16,86,771,1267,4003,14433,1797,22373,2140,9.600,20233,90.400,4840.7,463.0,4377.7,3.5,18.6,166.8,274.1,866.1,3122.8,388.8,4.700,8.500,4.300,4.100,7.900,3.700,-6.400,-23.00,0.500,16.500,13.800,2.200,-4.100
Anne Arundel County,1997,464193,12,90,580,1416,3817,14055,1760,21730,2098,9.700,19632,90.300,4681.2,452.0,4229.3,2.6,19.4,124.9,305.0,822.3,3027.8,379.2,-2.900,-2.00,-3.00,-3.300,-2.400,-3.400,-25.300,4.200,-25.100,11.300,-5.100,-3.00,-2.500
Anne Arundel County,1998,473811,7,117,631,1813,3525,13432,1529,21054,2568,12.200,18486,87.800,4443.5,542.0,3901.6,1.5,24.7,133.2,382.6,744.0,2834.9,322.7,-3.100,22.400,-5.800,-5.100,19.900,-7.700,-42.900,27.400,6.600,25.400,-9.500,-6.400,-14.900
Anne Arundel County,1999,479474,7,117,541,2157,3495,13419,1418,21154,2822,13.300,18332,86.700,4411.9,588.6,3823.4,1.5,24.4,112.8,449.9,728.9,2798.7,295.7,0.500,9.900,-0.800,-0.700,8.600,-2.00,-1.200,-1.200,-15.300,17.600,-2.00,-1.300,-8.400
Anne Arundel County,2000,489656,11,117,646,2610,3147,13402,1398,21331,3384,15.900,17947,84.100,4356.3,691.1,3665.2,2.2,23.9,131.9,533.0,642.7,2737.0,285.5,0.800,19.900,-2.100,-1.300,17.400,-4.100,53.900,-2.100,16.900,18.500,-11.800,-2.200,-3.500
Anne Arundel County,2001,496929,11,119,736,2932,3206,13747,1258,22009,3798,17.300,18211,82.700,4429.0,764.3,3664.7,2.2,23.9,148.1,590.0,645.2,2766.4,253.2,3.200,12.200,1.500,1.700,10.600,0.0,-1.500,0.200,12.300,10.700,0.400,1.100,-11.300
Anne Arundel County,2002,504601,17,94,754,2742,3191,13501,1484,21783,3607,16.600,18176,83.400,4316.9,714.8,3602.1,3.4,18.6,149.4,543.4,632.4,2675.6,294.1,-1.00,-5.00,-0.200,-2.500,-6.500,-1.700,52.200,-22.200,0.900,-7.900,-2.00,-3.300,16.200
Anne Arundel County,2003,508071,24,93,753,2633,3107,13234,1441,21285,3503,16.500,17782,83.500,4189.4,689.5,3499.9,4.7,18.3,148.2,518.2,611.5,2604.8,283.6,-2.300,-2.900,-2.200,-3.00,-3.500,-2.800,40.200,-1.700,-0.800,-4.600,-3.300,-2.600,-3.600
Anne Arundel County,2004,511140,16,110,767,2403,2986,12391,1631,20304,3296,16.200,17008,83.800,3972.3,644.8,3327.5,3.1,21.5,150.1,470.1,584.2,2424.2,319.1,-4.600,-5.900,-4.400,-5.200,-6.500,-4.900,-33.700,17.600,1.200,-9.300,-4.500,-6.900,12.500
Anne Arundel County,2005,512445,16,88,865,2198,3122,12288,1524,20101,3167,15.800,16934,84.200,3922.6,618.0,3304.5,3.1,17.2,168.8,428.9,609.2,2397.9,297.4,-1.00,-3.900,-0.400,-1.300,-4.200,-0.700,-0.300,-20.200,12.500,-8.800,4.300,-1.100,-6.800
Anne Arundel County,2006,512277,23,110,943,2091,3420,12217,1654,20458,3167,15.500,17291,84.500,3993.5,618.2,3375.3,4.5,21.5,184.1,408.2,667.6,2384.8,322.9,1.800,0.0,2.100,1.800,0.0,2.100,43.800,25.00,9.100,-4.800,9.600,-0.500,8.600
Anne Arundel County,2007,508164,20,90,910,2048,3412,13295,1667,21442,3068,14.300,18374,85.700,4219.5,603.7,3615.8,3.9,17.7,179.1,403.0,671.4,2616.3,328.0,4.800,-3.100,6.300,5.700,-2.300,7.100,-12.300,-17.500,-2.700,-1.300,0.600,9.700,1.600
Anne Arundel County,2008,511145,18,109,810,1994,3419,14302,1581,22233,2931,13.200,19302,86.800,4349.6,573.4,3776.2,3.5,21.3,158.5,390.1,668.9,2798.0,309.3,3.700,-4.500,5.100,3.100,-5.00,4.400,-10.500,20.400,-11.500,-3.200,-0.400,6.900,-5.700
Anne Arundel County,2009,517763,16,95,746,2063,3067,12763,1134,19884,2920,14.700,16964,85.300,3840.4,564.0,3276.4,3.1,18.3,144.1,398.4,592.4,2465.0,219.0,-10.600,-0.400,-12.100,-11.700,-1.600,-13.200,-12.200,-14.00,-9.100,2.100,-11.400,-11.900,-29.200
Anne Arundel County,2010,527278,18,113,661,2137,2860,11732,1236,18757,2929,15.600,15828,84.400,3557.3,555.5,3001.8,3.4,21.4,125.4,405.3,542.4,2225.0,234.4,-5.700,0.300,-6.700,-7.400,-1.500,-8.400,10.500,16.800,-13.00,1.700,-8.400,-9.700,7.00
Anne Arundel County,2011,542753,15,91,597,1972,2259,11394,832,17160,2675,15.600,14485,84.400,3161.7,492.9,2668.8,2.8,16.8,110.0,363.3,416.2,2099.3,153.3,-8.500,-8.700,-8.500,-11.100,-11.300,-11.100,-19.00,-21.800,-12.300,-10.400,-23.300,-5.700,-34.600
Anne Arundel County,2012,549659,13,100,538,1630,2585,11299,888,17053,2281,13.400,14772,86.600,3102.5,415.0,2687.5,2.4,18.2,97.9,296.5,470.3,2055.6,161.6,-0.600,-14.700,2.00,-1.900,-15.800,0.700,-14.400,8.500,-11.00,-18.400,13.00,-2.100,5.400
Anne Arundel County,2013,555330,15,71,630,1603,2522,11272,677,16790,2319,13.800,14471,86.200,3023.4,417.6,2605.8,2.7,12.8,113.4,288.7,454.1,2029.8,121.9,-1.500,1.700,-2.00,-2.500,0.600,-3.00,14.200,-29.700,15.900,-2.700,-3.400,-1.300,-24.500
Anne Arundel County,2014,561031,14,92,634,1523,2152,10620,702,15737,2263,14.400,13474,85.600,2805.0,403.4,2401.6,2.5,16.4,113.0,271.5,383.6,1892.9,125.1,-6.300,-2.400,-6.900,-7.200,-3.400,-7.800,-7.600,28.300,-0.400,-6.00,-15.500,-6.700,2.600
Anne Arundel County,2015,563766,17,140,613,1425,2084,10201,629,15109,2195,14.500,12914,85.500,2680.0,389.3,2290.7,3.0,24.8,108.7,252.8,369.7,1809.4,111.6,-4.00,-3.00,-4.200,-4.500,-3.500,-4.600,20.800,51.400,-3.800,-6.900,-3.600,-4.400,-10.800
Anne Arundel County,2016,566105,25,154,558,1575,1979,10025,622,14938,2312,15.500,12626,84.500,2638.7,408.4,2230.3,4.4,27.2,98.6,278.2,349.6,1770.9,109.9,-1.100,5.300,-2.200,-1.500,4.900,-2.600,46.500,9.500,-9.300,10.100,-5.400,-2.100,-1.500
Anne Arundel County,2017,572990,21,172,629,1433,1729,9388,667,14039,2255,16.100,11784,83.900,2450.1,393.5,2056.6,3.7,30.0,109.8,250.1,301.8,1638.4,116.4,-6.00,-2.500,-6.700,-7.100,-3.600,-7.800,-17.00,10.300,11.400,-10.100,-13.700,-7.500,5.900
Anne Arundel County,2018,573631,25,168,473,1382,1359,8445,688,12540,2048,16.300,10492,83.700,2186.1,357.0,1829.1,4.4,29.3,82.5,240.9,236.9,1472.2,119.9,-10.700,-9.200,-11.00,-10.800,-9.300,-11.100,18.900,-2.400,-24.900,-3.700,-21.500,-10.100,3.00
Anne Arundel County,2019,577904,20,159,438,1220,1143,8742,659,12381,1837,14.800,10544,85.200,2142.4,317.9,1824.5,3.5,27.5,75.8,211.1,197.8,1512.7,114.0,-1.300,-10.300,0.500,-2.00,-11.00,-0.200,-20.600,-6.100,-8.100,-12.400,-16.500,2.800,-4.900
